,commentCount,dislikeCount,favoriteCount,likeCount,v_id,v_title,viewCount
0,292,399,0,2100,df00BH6khRk,Try Not To Laugh:  Funny Fails May 2018 | Life Awesome,658814
1,103,135,0,1135,fFLfaNz_QZc,TRY NOT TO LAUGH or GRIN: Funny Animals vs Kids Fails Compilation July 2018,254058
2,69,69,0,869,a7cZRqylsKc,TRY NOT TO LAUGH CHALLENGE - Ultimate EPIC FAILS Compilation | Funny Vines Videos July 2018,117640
3,2234,4292,0,43985,DkXlUNCN6VM,Just For Laughs Gags - Best Off,18549270
4,22,45,0,272,dsKTGMjFCv0,"Julian Michael | Beautiful, Broke Husband | Laugh Factory Stand Up Comedy",8751
5,101,104,0,978,KwNKiFotyAc,Funny Animals Vines 2018 | Try Not To Laugh Stupid Animals Doing Stupid Things,207686
6,7812,16079,0,162441,8MfFVf0IPGQ,Try Not To Laugh Impossible Challenge Ever V4,14087256
7,285,35,0,2151,5RRT2lYgp_I,Try Not To Laugh **Fortnite EDITION 5**,43549
8,1258,14185,0,55795,vQmAOjHvE0w,Try Not To Laugh - | Some Best Funny Videos |,31863603
9,259,397,0,2912,0L87d6oMywo,Funny Fails July 2018 - Try Not To Laugh Watching Funny Fails Compilation 2018,724454
10,72,76,0,870,x5aiFyFp88U,Dumb Things Animals Do | Try Not To Laugh Watching Funny Animals 2018,145226
11,212,1034,0,9565,bgqm3KjEq34,Top 5 Just For Laughs Gags - July 2018 (Dangerous!!!),2157951
12,307,1428,0,11668,GBWdTLJ5Hy4,Top 5 Just For Laughs Gags - March 2018 (Jovial!),3592874
13,1328,1587,0,22258,Zd-QVXJFFDw,YOU LAUGH YOU LOSE #3 (WWE EDITION),2720221
14,4418,536,0,54783,6P87C5Zikpo,SUPER MUSIC MEMES DON'T LAUGH CHALLENGE | ZellenDust,475028
15,485,505,0,5250,YQ0B0vWoIkI,TRY NOT TO LAUGH (Impossible!) - Funny Fails Vine Compilation 2018 | BEST VINES,957569
16,3836,411,0,26484,bzQAuaX-tmg,Try Not To Laugh CHALLENGE 2018,308518
17,215,360,0,2083,7wzzXyQLO9Q,Best Fails of May 2018 - Try Not To Laugh Watching Funny Fails Compilation 2018,522615
18,1065,1301,0,11858,V5iMcfGnIqo,Just For Laugh-10 Funniest Pranks,6490260
